uid	user_name	helpful_count	write_count
109972492	김*길	9	117
22416397	두만	2973	1152
8260625	오*민	0	9
34212883	강*영	0	56
111807512	김*민	3	80
108923929	홍*	8	226
8391705	김*화	10	22
18091032	국*희	780	1965
106826778	박*민	0	236
134172	박*주	1	7
113642527	김*형	4	11
22416416	김*형	0	245
4983840	정*관	0	6
17435689	최*훈	2	9
527402	이*경	1	17
108137518	김*민	35	407
111021106	김*찬	0	267
111152183	이*선	3	404
17042493	박*철	10	30
108399678	김*자	639	516
110234688	채*진	0	5
66063427	이*호	0	5
17173572	이*욱	1	6
107744330	백*숙	7	194
107351118	신*	1	12
115870799	K*A	0	57
100142158	공*호	0	121
114691154	김*일	0	2
30542930	도나마미야	27	257
23989332	정*희	19	127
27921494	N*G	0	50
10488919	이*서	11	69
1576023	임*영	27	54
73010263	한*주	2	157
53480541	최*영	5	44
23333983	박*순	0	15
32509024	강*혜	0	2
107875426	송*정	45	29
110890082	구*나	0	2
109448291	안동김이요	1	2
114822256	밤톨도토리	90	395
105778288	야메떼	155	401
116526192	장*만	0	2
42732661	김*희	115	127
9571445	황*철	4	26
3673208	김*선	11	10
106564728	회장	189	1538
12586109	진*	0	3
10488960	박*이	0	2
18615425	윤*현	2	11
